CIDR block,IP Address,IP range (network - broadcast),Subnet Mask,IP Quantity,hostname
10.0.0.0/26,10.0.0.28,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host85
10.0.0.0/26,10.0.0.29,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host86
10.0.0.0/26,10.0.0.3,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host87
10.0.0.0/26,10.0.0.30,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host88
10.0.0.0/26,10.0.0.31,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host89
10.0.0.0/26,10.0.0.32,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host90
10.0.0.0/26,10.0.0.33,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host91
10.0.0.0/26,10.0.0.34,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host92
10.0.0.0/26,10.0.0.35,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host93
10.0.0.0/26,10.0.0.36,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host94
10.0.0.0/26,10.0.0.37,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host95
10.0.0.0/26,10.0.0.38,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host96
10.0.0.0/26,10.0.0.39,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host97
10.0.0.0/26,10.0.0.4,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host98
10.0.0.0/26,10.0.0.40,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host99
10.0.0.0/26,10.0.0.41,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host100
10.0.0.0/26,10.0.0.42,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host101
10.0.0.0/26,10.0.0.43,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host102
10.0.0.0/26,10.0.0.44,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host103
10.0.0.0/26,10.0.0.45,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host104
10.0.0.0/26,10.0.0.46,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host105
10.0.0.0/26,10.0.0.47,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host106
10.0.0.0/26,10.0.0.48,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host107
10.0.0.0/26,10.0.0.49,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host108
10.0.0.0/26,10.0.0.5,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host109
10.0.0.0/26,10.0.0.50,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host110
10.0.0.0/26,10.0.0.51,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host111
10.0.0.0/26,10.0.0.52,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host112
10.0.0.0/26,10.0.0.53,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host113
10.0.0.0/26,10.0.0.54,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host114
10.0.0.0/26,10.0.0.55,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host115
10.0.0.0/26,10.0.0.56,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host116
10.0.0.0/26,10.0.0.57,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host117
10.0.0.0/26,10.0.0.58,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host118
10.0.0.0/26,10.0.0.59,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host119
10.0.0.0/26,10.0.0.6,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host120
10.0.0.0/26,10.0.0.60,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host121
10.0.0.0/26,10.0.0.61,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host122
10.0.0.0/26,10.0.0.62,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host123
10.0.0.0/26,10.0.0.63,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host124
10.0.0.0/26,10.0.0.7,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host125
10.0.0.0/26,10.0.0.8,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host126
10.0.0.0/26,10.0.0.9,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host127
10.0.0.0/25,10.0.0.0,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host128
10.0.0.0/25,10.0.0.1,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host129
10.0.0.0/25,10.0.0.10,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host130
10.0.0.0/25,10.0.0.100,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host131
10.0.0.0/25,10.0.0.101,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host132
10.0.0.0/25,10.0.0.102,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host133
10.0.0.0/25,10.0.0.103,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host134
10.0.0.0/25,10.0.0.104,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host135
10.0.0.0/25,10.0.0.105,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host136
10.0.0.0/25,10.0.0.106,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host137
10.0.0.0/25,10.0.0.107,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host138
10.0.0.0/25,10.0.0.108,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host139
10.0.0.0/25,10.0.0.109,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host140
10.0.0.0/25,10.0.0.11,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host141
10.0.0.0/25,10.0.0.110,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host142
10.0.0.0/25,10.0.0.111,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host143
10.0.0.0/25,10.0.0.112,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host144
10.0.0.0/25,10.0.0.113,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host145
10.0.0.0/25,10.0.0.114,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host146
10.0.0.0/25,10.0.0.115,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host147
10.0.0.0/25,10.0.0.116,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host148
10.0.0.0/25,10.0.0.117,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host149
10.0.0.0/25,10.0.0.118,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host150
10.0.0.0/25,10.0.0.119,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host151
10.0.0.0/25,10.0.0.12,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host152
10.0.0.0/25,10.0.0.120,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host153
10.0.0.0/25,10.0.0.121,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host154
10.0.0.0/25,10.0.0.122,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host155
10.0.0.0/25,10.0.0.123,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host156
10.0.0.0/25,10.0.0.124,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host157
10.0.0.0/25,10.0.0.125,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host158
10.0.0.0/25,10.0.0.126,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host159
10.0.0.0/25,10.0.0.127,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host160
10.0.0.0/25,10.0.0.13,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host161
10.0.0.0/25,10.0.0.14,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host162
10.0.0.0/25,10.0.0.15,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host163
10.0.0.0/25,10.0.0.16,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host164
10.0.0.0/25,10.0.0.17,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host165
10.0.0.0/25,10.0.0.18,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host166
10.0.0.0/25,10.0.0.19,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host167
10.0.0.0/25,10.0.0.2,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host168
10.0.0.0/25,10.0.0.20,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host169
10.0.0.0/25,10.0.0.21,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host170
10.0.0.0/25,10.0.0.22,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host171
10.0.0.0/25,10.0.0.23,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host172
10.0.0.0/25,10.0.0.24,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host173
10.0.0.0/25,10.0.0.25,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host174
10.0.0.0/25,10.0.0.26,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host175
10.0.0.0/25,10.0.0.27,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host176
10.0.0.0/25,10.0.0.28,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host177
10.0.0.0/25,10.0.0.29,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host178
10.0.0.0/25,10.0.0.3,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host179
10.0.0.0/25,10.0.0.30,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host180
10.0.0.0/25,10.0.0.31,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host181
10.0.0.0/25,10.0.0.32,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host182
10.0.0.0/25,10.0.0.33,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host183
10.0.0.0/25,10.0.0.34,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host184
10.0.0.0/25,10.0.0.35,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host185
10.0.0.0/25,10.0.0.36,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host186
10.0.0.0/25,10.0.0.37,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host187
10.0.0.0/25,10.0.0.38,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host188
10.0.0.0/25,10.0.0.39,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host189
10.0.0.0/25,10.0.0.4,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host190
10.0.0.0/25,10.0.0.40,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host191
10.0.0.0/25,10.0.0.41,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host192
10.0.0.0/25,10.0.0.42,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host193
10.0.0.0/25,10.0.0.43,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host194
10.0.0.0/25,10.0.0.44,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host195
10.0.0.0/25,10.0.0.45,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host196
10.0.0.0/25,10.0.0.46,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host197
10.0.0.0/25,10.0.0.47,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host198
10.0.0.0/25,10.0.0.48,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host199
10.0.0.0/25,10.0.0.49,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host200
10.0.0.0/25,10.0.0.5,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host201
10.0.0.0/25,10.0.0.50,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host202
10.0.0.0/25,10.0.0.51,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host203
10.0.0.0/25,10.0.0.52,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host204
10.0.0.0/25,10.0.0.53,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host205
10.0.0.0/25,10.0.0.54,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host206
10.0.0.0/25,10.0.0.55,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host207
10.0.0.0/25,10.0.0.56,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host208
10.0.0.0/25,10.0.0.57,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host209
10.0.0.0/25,10.0.0.58,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host210
10.0.0.0/25,10.0.0.59,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host211
10.0.0.0/25,10.0.0.6,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host212
10.0.0.0/25,10.0.0.60,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host213
10.0.0.0/25,10.0.0.61,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host214
10.0.0.0/25,10.0.0.62,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host215
10.0.0.0/25,10.0.0.63,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host216
10.0.0.0/25,10.0.0.64,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host217
10.0.0.0/25,10.0.0.65,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host218
10.0.0.0/25,10.0.0.66,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host219
10.0.0.0/25,10.0.0.67,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host220
10.0.0.0/25,10.0.0.68,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host221
10.0.0.0/25,10.0.0.69,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host222
10.0.0.0/25,10.0.0.7,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host223
10.0.0.0/25,10.0.0.70,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host224
10.0.0.0/25,10.0.0.71,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host225
10.0.0.0/25,10.0.0.72,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host226
10.0.0.0/25,10.0.0.73,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host227
10.0.0.0/25,10.0.0.74,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host228
10.0.0.0/25,10.0.0.75,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host229
10.0.0.0/25,10.0.0.76,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host230
10.0.0.0/25,10.0.0.77,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host231
10.0.0.0/25,10.0.0.78,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host232
10.0.0.0/25,10.0.0.79,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host233
10.0.0.0/25,10.0.0.8,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host234
10.0.0.0/25,10.0.0.80,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host235
10.0.0.0/25,10.0.0.81,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host236
10.0.0.0/25,10.0.0.82,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host237
10.0.0.0/25,10.0.0.83,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host238
10.0.0.0/25,10.0.0.84,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host239
10.0.0.0/25,10.0.0.85,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host240
10.0.0.0/25,10.0.0.86,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host241
10.0.0.0/25,10.0.0.87,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host242
10.0.0.0/25,10.0.0.88,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host243
10.0.0.0/25,10.0.0.89,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host244
10.0.0.0/25,10.0.0.9,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host245
10.0.0.0/25,10.0.0.90,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host246
10.0.0.0/25,10.0.0.91,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host247
10.0.0.0/25,10.0.0.92,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host248
10.0.0.0/25,10.0.0.93,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host249
10.0.0.0/25,10.0.0.94,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host250
10.0.0.0/25,10.0.0.95,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host251
10.0.0.0/25,10.0.0.96,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host252
10.0.0.0/25,10.0.0.97,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host253
10.0.0.0/25,10.0.0.98,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host254
10.0.0.0/25,10.0.0.99,10.0.0.0 - 10.0.0.127,255.255.255.128,128,host255
10.0.0.0/24,10.0.0.0,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host256
10.0.0.0/24,10.0.0.1,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host257
10.0.0.0/24,10.0.0.10,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host258
10.0.0.0/24,10.0.0.100,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host259
10.0.0.0/24,10.0.0.101,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host260
10.0.0.0/24,10.0.0.102,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host261
10.0.0.0/24,10.0.0.103,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host262
10.0.0.0/24,10.0.0.104,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host263
10.0.0.0/24,10.0.0.105,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host264
10.0.0.0/24,10.0.0.106,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host265
10.0.0.0/24,10.0.0.107,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host266
10.0.0.0/24,10.0.0.108,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host267
10.0.0.0/24,10.0.0.109,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host268
10.0.0.0/24,10.0.0.11,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host269
10.0.0.0/24,10.0.0.110,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host270
10.0.0.0/24,10.0.0.111,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host271
10.0.0.0/24,10.0.0.112,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host272
10.0.0.0/24,10.0.0.113,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host273
10.0.0.0/24,10.0.0.114,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host274
10.0.0.0/24,10.0.0.115,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host275
10.0.0.0/24,10.0.0.116,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host276
10.0.0.0/24,10.0.0.117,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host277
10.0.0.0/24,10.0.0.118,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host278
10.0.0.0/24,10.0.0.119,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host279
10.0.0.0/24,10.0.0.12,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host280
10.0.0.0/24,10.0.0.120,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host281
10.0.0.0/24,10.0.0.121,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host282
10.0.0.0/24,10.0.0.122,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host283
10.0.0.0/24,10.0.0.123,10.0.0.0 - 10.0.0.255,255.255.255.0,256,host284
